"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-10022023-025305";"";
"REFERENCE";"JC35EG";"";
"TraceParts.PartTitle";"Lifting Column JC35EG";"";
"TraceParts.InstanceId";"90-10022023-0253052N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"JIECANG";"";
"DESIGN";"Lifting Column JC35EG";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.0";"";
